หมวด (Category),ช่วงรายละเอียด (Resolution range),กลุ่ม/แบนด์ (Group/Band),ดาวเทียม/โหมด (Satellite/Mode),รายละเอียดภาพ (Resolution),Polarization,ประเภทราคา 1 (Price type 1),ราคา 1 (Price 1),ประเภทราคา 2 (Price type 2),ราคา 2 (Price 2),หน่วย (Unit),หมายเหตุ (Note)
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (High Resolution),รายละเอียดภาพ 60 ซม. – 2 ม.,Video / Night Imaging,Night Imaging,1 m.,,ข้อมูลในคลัง (Standard Archive),800,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"1,400",ดูหมายเหตุ,หน่วย: บาท/ตร.กม.; พื้นที่สั่งขั้นต่ำ 100 ตร.กม.; ความกว้างแนวถ่ายอย่างน้อย 5 กม.
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (ต่อ) (High Resolution (cont.)),SPOT / ไทยโชต,SPOT,SPOT-6,1.5 m.,,ข้อมูลในคลัง (Standard Archive),190,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),230,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (ต่อ) (High Resolution (cont.)),SPOT / ไทยโชต,SPOT,SPOT-7,1.5 m.,,ข้อมูลในคลัง (Standard Archive),190,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),230,บาท/ตร.กม.,
ราคาข้อมูลจากดาวเทียมรายละเอียดสูง (ต่อ) (High Resolution (cont.)),SPOT / ไทยโชต,ไทยโชต (THEOS),ไทยโชต,2 m.,,ข้อมูลในคลัง (Standard Archive),700,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),"6,500",บาท/ภาพ,ราคาที่ปรับ Orthorectification แล้ว 910 บาท/ภาพ
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง (Medium Resolution),รายละเอียดมากกว่า 2 เมตร,LANDSAT,LANDSAT-5,30 m.,,ข้อมูลในคลัง (Standard Archive),150,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),N/A,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตจากคลังข้อมูล; Level 1T (7 Bands)
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง (Medium Resolution),รายละเอียดมากกว่า 2 เมตร,LANDSAT,LANDSAT-7,30 m.,,ข้อมูลในคลัง (Standard Archive),150,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),N/A,บาท/ภาพ,คิดเฉพาะค่าดำเนินการผลิตจากคลังข้อมูล; Level 1T (8 Bands)
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง (Medium Resolution),รายละเอียดมากกว่า 2 เมตร,LANDSAT,LANDSAT-8,30 m.,,ข้อมูลในคลัง (Standard Archive),150,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),N/A,บาท/ภาพ,หากให้ สทอภ. ดาวน์โหลด คิดค่าดำเนินการ 150 บาท/ภาพ; Level 1T (11 Bands)
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง (Medium Resolution),รายละเอียดมากกว่า 2 เมตร,LANDSAT,LANDSAT-9,30 m.,,ข้อมูลในคลัง (Standard Archive),150,ข้อมูลชนิดสั่งถ่าย (Standard Tasking),N/A,บาท/ภาพ,หากให้ สทอภ. ดาวน์โหลด คิดค่าดำเนินการ 150 บาท/ภาพ; Level 1T (11 Bands)
ราคาข้อมูลจากดาวเทียมรายละเอียดปานกลาง (Medium Resolution),รายละเอียดมากกว่า 2 เมตร,PLANETSCOPE,PLANETSCOPE,3 m.,,ข้อมูลในคลัง (Standard Archive),180,การติดตาม (Monitoring),240,บาท/ตร.กม./ปี,"Access+Download; พื้นที่สั่งขั้นต่ำ 100 ตร.กม.; ระยะเวลาสัญญา 1 ปี; เข้าดู/ดาวน์โหลดผ่าน Planet Explorer, Planet API, Desktop GIS"
ราคาข้อมูลจากดาวเทียมระบบเรดาร์ (Radar (SAR)),RADARSAT-2 (C band),RADARSAT-2 (C band),Standard,25 m.,,Single Look complex (บาท),"57,600",Path Image (บาท),"57,600",บาท/ภาพ,
